candidate,name,report_group,workload,seed,load,trace_sha256,generated,source_overrun,accepted,delivered,errors,measurement_event_per_cycle,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,max_request_wait,demand_normalized_fairness,min_source_service_ratio,drain_cycles
a4-quadtree-model,uniform_l1p50_s2001,uniform,uniform,2001,1.5,7653c20cb03953592a0727f73ee66761a6e719d06019234cf61fd4e471393839,3039,983,2056,2056,0,0.9990234375,18,20,20,15,0.9980767020261311,0.6224489795918368,10
mock-flat-rr-model,uniform_l1p50_s2001,uniform,uniform,2001,1.5,7653c20cb03953592a0727f73ee66761a6e719d06019234cf61fd4e471393839,3039,984,2055,2055,0,0.99951171875,11,13,15,14,0.9985119965080372,0.6341463414634146,8
a4-quadtree-model,uniform_l1p50_s2002,uniform,uniform,2002,1.5,6193ccd24af9f7c182b3a2fa6f355d6a2c210bd43476bca8e2242897ae1ee8ab,3094,1037,2057,2057,0,0.9990234375,18,20,20,15,0.9967315345030175,0.6134453781512605,11
mock-flat-rr-model,uniform_l1p50_s2002,uniform,uniform,2002,1.5,6193ccd24af9f7c182b3a2fa6f355d6a2c210bd43476bca8e2242897ae1ee8ab,3094,1040,2054,2054,0,0.99951171875,12,13,15,14,0.9972587299442857,0.6092436974789915,7
a4-quadtree-model,uniform_l1p50_s2003,uniform,uniform,2003,1.5,d301da0e4dba7a64c4c1154fe617612368d3908779bf3204be5471bfae847bad,3045,991,2054,2054,0,0.9990234375,18,20,20,15,0.9986008409246997,0.616580310880829,8
mock-flat-rr-model,uniform_l1p50_s2003,uniform,uniform,2003,1.5,d301da0e4dba7a64c4c1154fe617612368d3908779bf3204be5471bfae847bad,3045,993,2052,2052,0,0.99951171875,12,13,15,14,0.9989562701519044,0.6358695652173914,5
a4-quadtree-model,uniform_l2p00_s2001,uniform,uniform,2001,2.0,5ee63712c80a14a42901e2bc6c7fab121eb129ba12be16c615f8228e3944f627,4096,2036,2060,2060,0,0.9990234375,20,20,20,15,0.9978536807870994,0.4620938628158845,14
mock-flat-rr-model,uniform_l2p00_s2001,uniform,uniform,2001,2.0,5ee63712c80a14a42901e2bc6c7fab121eb129ba12be16c615f8228e3944f627,4096,2038,2058,2058,0,0.99951171875,14,15,16,15,0.9984175807967023,0.47017543859649125,11
a4-quadtree-model,uniform_l2p00_s2002,uniform,uniform,2002,2.0,8b32d69a0ac8d591e810320510f1657d685fb0e79951b992035d82d50e9bb72a,4096,2038,2058,2058,0,0.9990234375,20,20,20,15,0.997073374993612,0.4626334519572954,12
mock-flat-rr-model,uniform_l2p00_s2002,uniform,uniform,2002,2.0,8b32d69a0ac8d591e810320510f1657d685fb0e79951b992035d82d50e9bb72a,4096,2041,2055,2055,0,0.99951171875,14,15,16,15,0.9973383674785223,0.4697508896797153,8
a4-quadtree-model,uniform_l2p00_s2003,uniform,uniform,2003,2.0,ef15eb066fb4ee69eebae96d495e20f73def720bb5da5428d5480f603189d75d,4096,2037,2059,2059,0,0.9990234375,20,20,20,15,0.9985495591080215,0.4635036496350365,13
mock-flat-rr-model,uniform_l2p00_s2003,uniform,uniform,2003,2.0,ef15eb066fb4ee69eebae96d495e20f73def720bb5da5428d5480f603189d75d,4096,2041,2055,2055,0,0.99951171875,14,15,16,15,0.9990662912764672,0.47653429602888087,8
