name,workload,kind,block_size,link_width,pins,charged_storage_bits,offered,accepted,overrun,delivered,blocks,raw_blocks,link_bits,link_cycles,bits_per_event,events_per_pin_cycle,average_latency,max_latency,drain_cycle
moving_hotspot_multi_column_s3301,moving_hotspot,raw,32,1,3,522,1821,555,1266,555,18,18,2220,2238,4.0,0.08266309204647006,282.6792792792793,368,2282
moving_hotspot_multi_column_s3301,moving_hotspot,codec,32,1,3,522,1821,555,1266,555,18,18,2220,2238,4.0,0.08266309204647006,282.6792792792793,368,2282
moving_hotspot_multi_column_s3301,moving_hotspot,raw,32,2,5,522,1821,1034,787,1034,33,33,4136,2101,4.0,0.09842931937172775,136.66924564796906,174,2155
moving_hotspot_multi_column_s3301,moving_hotspot,codec,32,2,5,522,1821,1034,787,1034,33,33,4136,2101,4.0,0.09842931937172775,136.66924564796906,174,2155
moving_hotspot_multi_column_s3301,moving_hotspot,raw,32,4,8,522,1821,1821,0,1821,57,57,7284,1878,4.0,0.12120607028753994,66.03020318506316,74,2110
moving_hotspot_multi_column_s3301,moving_hotspot,codec,32,4,8,522,1821,1821,0,1821,57,57,7284,1878,4.0,0.12120607028753994,66.03020318506316,74,2110
moving_hotspot_multi_disperse_s3301,moving_hotspot,raw,4,1,3,74,1821,495,1326,495,124,124,1980,2104,4.0,0.07842205323193917,63.14545454545455,99,2109
moving_hotspot_multi_disperse_s3301,moving_hotspot,codec,4,1,3,74,1821,495,1326,495,124,124,1980,2104,4.0,0.07842205323193917,63.14545454545455,99,2109
moving_hotspot_multi_disperse_s3301,moving_hotspot,raw,4,2,5,74,1821,918,903,918,230,230,3672,2066,4.0,0.08886737657308809,26.408496732026144,43,2070
moving_hotspot_multi_disperse_s3301,moving_hotspot,codec,4,2,5,74,1821,918,903,918,230,230,3672,2066,4.0,0.08886737657308809,26.408496732026144,43,2070
moving_hotspot_multi_disperse_s3301,moving_hotspot,raw,4,4,8,74,1821,1638,183,1638,410,410,6552,2048,4.0,0.0999755859375,10.7002442002442,18,2058
moving_hotspot_multi_disperse_s3301,moving_hotspot,codec,4,4,8,74,1821,1638,183,1638,410,406,6540,2048,3.9926739926739927,0.0999755859375,10.7002442002442,18,2058
moving_hotspot_multi_disperse_s3301,moving_hotspot,raw,8,1,3,138,1821,513,1308,513,65,65,2052,2117,4.0,0.0807746811525744,93.12670565302145,130,2127
moving_hotspot_multi_disperse_s3301,moving_hotspot,codec,8,1,3,138,1821,514,1307,514,65,64,2053,2118,3.9941634241245136,0.08089392508655965,92.92996108949416,128,2126
moving_hotspot_multi_disperse_s3301,moving_hotspot,raw,8,2,5,138,1821,974,847,974,122,122,3896,2070,4.0,0.09410628019323672,41.1735112936345,62,2082
moving_hotspot_multi_disperse_s3301,moving_hotspot,codec,8,2,5,138,1821,974,847,974,122,122,3896,2070,4.0,0.09410628019323672,41.1735112936345,62,2082
moving_hotspot_multi_disperse_s3301,moving_hotspot,raw,8,4,8,138,1821,1782,39,1782,223,223,7128,2005,4.0,0.11109725685785536,17.49887766554433,22,2065
moving_hotspot_multi_disperse_s3301,moving_hotspot,codec,8,4,8,138,1821,1782,39,1782,223,221,7122,2005,3.9966329966329965,0.11109725685785536,17.49887766554433,22,2065
moving_hotspot_multi_disperse_s3301,moving_hotspot,raw,16,1,3,266,1821,531,1290,531,34,34,2124,2158,4.0,0.08202038924930491,155.99435028248587,191,2178
moving_hotspot_multi_disperse_s3301,moving_hotspot,codec,16,1,3,266,1821,531,1290,531,34,34,2124,2158,4.0,0.08202038924930491,155.99435028248587,191,2178
